;datum;jahr;pfr;mitwirkung;art;begleitung;quelle;nr;komponist_vn;komponist;werk;stück;anmerkungen
;05.11.2004;2004;;;Beerdigung von R. Binkert;;;;Max;Bruch;;Gebet;
;05.11.2004;2004;;;;;;;Anton;Bruckner;;Locus iste;
;05.12.2004;2004;Abegg;;GD;H. Brunner;;;Georg F.;Händel;;Denn die Herrlichkeit;
;05.12.2004;2004;;;;;;;Marc A.;Charpentier;Messe de Minuit;Kyrie, Gloria,Sanctus, Benedictus, Agnus Dei;
;05.12.2004;2004;;;Adventskonzert;;;;Georg F.;Händel;Der Messias;aus Advents- und Weihnachtsteil;
;05.12.2004;2004;;;;;;;Marc A.;Charpentier;Messe de Minuit pour Noël;;
;24.12.2004;2004;Müller;;Christnachtfeier;H. Brunner;;;Marc A.;Charpentier;Messe de Minuit pour Noël;Kyrie, Credo, Gloria;
;31.12.2004;2004;P. Feldmann ;Dia Schenkel K. Wick;Silvester;;;;Felix;Mendelssohn;;Ehre sei dem Vater;
;31.12.2004;2004;;;;;;;Ludwig van;Beethoven;;Glück zum neuen Jahr,  Dona nobis pacem;
;31.12.2004;2004;;;;;;;Hans;Roelli;;Weise der Jahreszeiten;
;25.03.2005;2005;P. Feldmann;;;W. Deller;;;Johann S.;Bach;Kantate 21;Ich hatte viel Bekümmernis, Chöre 2 und 6;
;25.03.2005;2005;;;;;;;Antonio;Vivaldi;Gloria D-Dur;2,8,9;
;16.04.2005;2005;;;Geistliches Konzert;;;;Johann S.;Bach;;Ich hatte viel Bekümmernis;
;17.04.2005;2005;;;;;;;Antonio;Vivaldi;Gloria D-Dur;;
;17.04.2005;2005;;;;;;;Sergej;Rachmaninov;;To thee o Lord;
;17.04.2005;2005;;;;;;;Gioachino;Rossini;;Ave Maria;
;17.04.2005;2005;;;;;;;Waldemar;Ahlen;;Sommerpsalm;
;17.04.2005;2005;;;;;;;Max;Bruch;;Sommerlied;
;01.10.2005;2005;;;Nauenständchen;;EC;;;;;Audite Silete, Alte Trinita beata, Tourdion, Kein Feuer keine Kohle, S'isch mer alles eis Ding, Simeliberg, ;
;01.10.2005;2005;;;;;;;Felix;Mendelssohn;;Morgengebet;
;01.10.2005;2005;;;;;;;Felix;Mendelssohn;;0 Täler weit o Höhen;
;01.10.2005;2005;;;;;;;Fanny;Hensel;;0 Herbst;
;01.10.2005;2005;;;;;;;Hans;Märki;;Rosezyt;
;01.10.2005;2005;;;;;CH05;;;;;may the road rise too meet you, 0 du stille Zeit;
;02.10.2005;2005;P. Feldmann;;GD Erntedank;;;;Felix;Mendelssohn;;Morgengebet;
;02.10.2005;2005;;;;;;;Felix;Mendelssohn;;0 Täler weit o Höhen;
;02.10.2005;2005;;;;;;;Fanny;Hensel;;0 Herbst;
;02.10.2005;2005;;;;;CH05;;;;;May th road rise too meet you;
;04.12.2005;2005;S. Schuppli;;GD 1. Advent;;;;Vàclav E.;Horak;Pastoralmesse;Gloria, Credo, Sanctus/Benedictus;
;24.12.2005;2005;P. Feldmann;;Christnachtfeier;H. Brunner Fam. Zeller Geige und Cello;;;Vàclav E.;Horak;;Pastoralmesse;
;31.12.2005;2005;S. Schuppli;E. Frischknecht, M. Schenkel;Silvesterfeier;;;;Franz;Schöggl;F. Schubert;Die launige Forelle;
;;1900;;;;;;;William;Boyce;;Alleluja;
;01.01.2006;2006;2006;;;;;;;;;;
;22.01.2006;2006;;;GD Pfarreinsatz F. Gietenbruch;;;;Vàclav E.;Horak;;Sanctus, Benedictus, Agnus Dei, Doa nobis;
;22.01.2006;2006;;;;;;;Johann S.;Bach;;Psallite deo Nostro;
;13.04.2006;2006;;;Passionskonzert;;;;Gabrièl;Fauré;;Cantique de Jean Racine;
;;1900;;;;;;;Gabrièl;Fauré;;Tu es Petrus, Ave verum corpus, Tantum ergo;
;14.04.2006;2006;;;;;;;John;Rutter;;The Lord is my shepherd;
;14.04.2006;2006;;;;;;;Charles;Gounod;Requiem;;
;14.04.2006;2006;F. Gietenbruch;;GD Karfreitag;;;;Charles;Gounod;;Agnus Dei, Lacrimosa;
;21.05.2006;2006;;;GD Abschied Peter P. Feldmann;;CH2000;;;;;Nun jauchzt dem Herren;
;21.05.2006;2006;;;;;;;Gabrièl;Fauré;;Cantique de Jean Racine;
;21.05.2006;2006;;;;;;;Wolfgang A.;Mozart;;Alleluja;
;11.06.2006;2006;;;GD Einsatz K. Disch;;;;John;Rutter;;The Lord is my shepherd, Gott sei stets in mir;
;11.06.2006;2006;;;;;CH 05;;;;;Let's the heaven light sine on me;
;30.09.2006;2006;;;Nauenständli;;EC;;;;;Kommt ihr G'spielen Come away Dindirindin Pase el Agua Nun ruhen alle Wälder;
;10.12.2006;2006;;;Konzert zum Advent;;;;Dietrich;Buxtehude;;Wie soll ich dich empfangen;
;10.12.2006;2006;;;;;;;Francis;Poulenc;;Hodie Christs natus est;
;10.12.2006;2006;;;;;;;Christoph W.;Graupner;;Gelobet seist Du Jesu Christ;
;10.12.2006;2006;;;;;;;Giovanni;Gabrieli;;Angelus ad Pastores ait;
;10.12.2006;2006;;;;;;;Christoph W.;Graupner;;Wie schön leuchtet der Morgenstern;
;10.12.2006;2006;;;;;;;Francis;Poulenc;;Videntes stellam;
;10.12.2006;2006;;;;;;;Dietrich;Buxtehude;;Das neugeborne Kindelein;
;24.12.2006;2006;K. Disch;;Christnachtfeier;Fam Zeller;;;Francis;Poulenc;;Hodie Christus;
;24.12.2006;2006;;;;;;;Giovanni;Gabrieli;;Angelus astores;
;24.12.2006;2006;;;;;;;Francis;Poulenc;;Videntes stellam;
;24.12.2006;2006;;;;;;;Dietrich;Buxtehude;;Das neugeborne Kindelein;
